metric,value
trade_days,126.0
total_return,0.1017953464107697
gross_total_return,0.1124487101612679
annual_return,0.21395298537242802
gross_annual_return,0.23754213273946867
annual_volatility,0.1274754770409727
gross_annual_volatility,0.1274339981617152
sharpe,1.5847411691302518
gross_sharpe,1.7363549343488176
sortino,2.584325233915144
max_drawdown,-0.06322299519750374
gross_max_drawdown,-0.06033855041198244
calmar,3.384100748533907
daily_win_rate,0.5079365079365079
weekly_win_rate,0.6153846153846154
monthly_win_rate,0.5
avg_daily_return,0.000801649351275189
median_daily_return,2.4097382059918326e-05
best_day,0.018458910622126883
worst_day,-0.02124776178700495
downside_volatility,0.07816958712093
var_95,-0.011716430440230031
cvar_95,-0.01588825310034806
max_drawdown_duration,55.0
profit_loss_ratio,1.229025984273415
longest_win_streak,6.0
longest_loss_streak,6.0
avg_turnover,0.152817579290037
median_turnover,0.14659385000238426
max_turnover,0.9999999999999947
avg_holding_count,99.2063492063492
avg_long_exposure,0.9920634920634875
avg_short_exposure,0.0
avg_net_exposure,0.9920634920634875
avg_gross_exposure,0.9920634920634875
total_trading_cost,0.009627507495272332
cost_drag,0.01065336375049819
top5_day_pnl_contribution,0.18599822268960106
effective_asset_return_ratio,0.992
avg_daily_asset_return_coverage,0.992
